Date,Time,Design,Source,Version,Run,stage,X(um),Y(um),Area,Cell Area,Utilization,Cell Count,Buf & inv,Logic,Flops,Bits,Removed_seq,num_of_ports,%avt,%bvt,%cvt,%dvt,%evt,internal_power,switching_power,dynamic_power,leakage_power,total_power,Bank_ratio,2_mulibit,4_mulibit,6_multibit,8_mulibit,All WNS (ps),All TNS (ps),All Violations,reg2reg WNS (ps),reg2reg TNS (ps),reg2reg Violations,Hold WNS (ns),Hold TNS (ps),Hold FEP,V,H,Routing Shorts,DRC_Total,Run_time,CPU,Mem,Comment
Mar 04 2023,8:06:45 PM,design_a,design_a.v,3.0.0,syn,syn,NA,NA,NA,464861,NA%,4527515,523327,3209220,767867,767859,62545,38841,NA,83.93%,14.88%,0.00%,1.19%,0,0,1939.28,303.41,2242.69,0,0,0,0,0,-95.7,-2538383,82362,-88.2,-2213987,73211,NA,NA,NA,NA,NA,NA,NA,33:55:43,24,219546,
Mar 07 2023,1:55:40 AM,design_a,design_a.v,3.0.0,syn_physical,syn,1193.81,1108.8,1323694,597563,65.27%,6009335,1740220,3474146,767868,767860,62544,38841,NA,58.62%,40.46%,0.00%,0.92%,0,0,7000.16,420.933,7421.09,0,0,0,0,0,-442.1,-6816265,102079,-274.7,-2747710,69994,NA,NA,NA,0.27%,0.37%,NA,NA,58:48:43,24,240944,
Mar 04 2023,6:38:27 PM,design_a,design_a.v,3.0.0,syn_auto_ungroup,syn,NA,NA,NA,434579,NA%,4155877,510800,2850966,768048,768040,62629,38841,NA,84.50%,14.28%,0.00%,1.22%,0,0,1788.95,292.126,2081.08,0,0,0,0,0,-125.3,-3981144,103671,-125.3,-3648566,94333,NA,NA,NA,NA,NA,NA,NA,31:28:54,24,221703,
Mar 03 2023,6:52:28 AM,design_a,design_a.v,3.0.0,syn_hier,syn,NA,NA,NA,471257,NA%,4634948,540618,3299362,767867,767859,62545,38841,NA,83.99%,14.84%,0.00%,1.17%,0,0,1894.97,305.904,2200.87,0,0,0,0,0,-99.6,-3095327,93151,-87.7,-2729772,83887,NA,NA,NA,NA,NA,NA,NA,31:30:53,24,218330,
Mar 08 2023,5:50:57 PM,design_a,design_a.v,4.0.0,syn,syn,NA,NA,NA,450163,NA%,4293884,459593,3022281,784502,784493,62157,38843,NA,6.90%,91.86%,0.00%,1.24%,0,0,1986.93,403.609,2390.54,0,0,0,0,0,-84.8,-930413,47263,-58.8,-753702,40505,NA,NA,NA,NA,NA,NA,NA,30:03:47,24,218090,
Mar 08 2023,11:24:25 PM,design_a,design_a.v,4.0.0,syn_medium_vt,syn,NA,NA,NA,418356,NA%,4006682,353027,2841895,784252,784243,59887,38843,NA,6.24%,6.77%,85.65%,1.34%,0,0,1922.01,579.242,2501.25,0,0,0,0,0,-65,-78892,2287,0,0,0,NA,NA,NA,NA,NA,NA,NA,28:29:14,24,219594,
Mar 15 2023,11:19:30 PM,design_a,,4.0.0,pnr_medium_vt,place,1193.81,1108.8,1323694,538834,58.86%,5252182,1534036,3339879,350754,784243,0,38843,NA,26.45%,20.54%,51.87%,1.13%,2498.36,3676.61,6174.97,611.737,6786.71,76.36%,31321,134056,0,0,-298,-2115158,79589,-205,-1313197,62646,NA,NA,NA,0.23%,0.36%,9912,99610,54:03:23,32,155510,
Mar 15 2023,7:39:26 PM,design_a,,4.0.0,pnr_medium_vt_ct_720,place,1193.81,1108.8,1323694,482410,52.69%,4502882,972880,3176956,325533,784243,0,38843,NA,29.98%,20.94%,47.83%,1.25%,2278.36,3124.89,5403.25,534.164,5937.42,80.84%,33529,141727,0,0,-229,-538333,24578,-85,-129135,12594,NA,NA,NA,0.13%,0.21%,10590,99482,50:12:47,32,145795,
Mar 19 2023,8:31:33 PM,design_a,design_a.v,5.0.0,syn_medium_vt,syn,NA,NA,NA,404941,NA%,3892449,338488,2774642,753236,753227,55502,38843,NA,6.13%,6.06%,86.50%,1.31%,0,0,1939.7,567.814,2507.51,0,0,0,0,0,-56.1,-329924,13210,0,0,0,NA,NA,NA,NA,NA,NA,NA,31:43:10,24,219970,
Mar 20 2023,12:12:49 AM,design_a,design_a.v,5.0.0,syn,syn,NA,NA,NA,439058,NA%,4199824,450863,2969355,753523,753514,57774,38843,NA,6.84%,91.95%,0.00%,1.21%,0,0,2051.76,396.854,2448.61,0,0,0,0,0,-139,-2656666,78397,-70.8,-1405465,58025,NA,NA,NA,NA,NA,NA,NA,35:22:54,24,216384,
Mar 23 2023,1:29:30 AM,design_a,design_a.v,6.0.0,syn_medium_vt,syn,NA,NA,NA,395973,NA%,3776356,320247,2680035,750306,750297,54846,38843,NA,6.32%,5.55%,86.81%,1.32%,0,0,1834.45,559.811,2394.27,0,0,0,0,0,-64.7,-78671,2244,0,0,0,NA,NA,NA,NA,NA,NA,NA,26:15:14,24,209144,
Mar 25 2023,3:58:18 PM,design_a,,6.0.0,pnr_medium_vt,place,1193.81,1108.8,1323694,516244,56.39%,5024418,1511447,3145955,341243,750297,0,38843,NA,26.12%,21.05%,51.72%,1.11%,2433.24,3580.57,6013.81,595.951,6609.76,75.52%,31780,125758,0,0,-430,-1857697,63858,-229,-1152273,47321,NA,NA,NA,0.21%,0.34%,10379,99663,52:50:08,32,149447,
Mar 27 2023,3:52:54 AM,design_a,,6.0.0,pnr,place,1193.81,1108.8,1323694,546687,59.72%,5424763,1653559,3387244,358183,749613,0,38843,NA,28.37%,26.49%,44.09%,1.05%,2502,3754.26,6256.26,592.015,6848.28,72.35%,30626,120268,0,0,-412,-1786789,63239,-252,-1013051,46528,NA,NA,NA,0.31%,0.50%,10215,99664,52:47:35,32,155793,
Apr 02 2023,5:41:19 PM,design_a,,6.0.0,pnr_770,place,1193.81,1108.8,1323694,467372,51.05%,4534906,1233393,2957104,318635,751069,0,38843,NA,41.17%,31.20%,26.42%,1.21%,1875.79,2864.97,4740.76,453.032,5193.79,79.39%,29567,134289,0,0,-207,-308255,13888,-140,-19591,5200,NA,NA,NA,0.11%,0.19%,8755,99601,49:05:45,16,132472,
Apr 02 2023,5:14:04 PM,design_a,,6.0.0,pnr_830,place,1193.81,1108.8,1323694,450482,49.21%,4349638,1126666,2898438,298760,750350,0,38843,NA,46.83%,31.46%,20.48%,1.23%,1681.07,2594.67,4275.74,416.547,4692.28,82.91%,30039,140517,0,0,-164,-217519,9871,-57,-4869,3141,NA,NA,NA,0.08%,0.14%,7874,99584,48:06:53,16,129814,
